DATE,US HOME PRICE INDEX,GROSS DEMOSTRIC PRODUCT,HOMEOWNERSHIP RATE,HOUSING STARTS,MEDIAN SALES PRICE,MORTGAGE RATE,POPULATION,UNEMP RATE
2008-09-01,5.08331558092545,0.0,67.9,820.0,12.330504638906516,6.0375,305158.0,1.9600947840472698
2008-10-01,5.070958694079361,14608.209,67.5,777.0,12.312686874960354,6.2,305403.0,2.0149030205422647
2008-11-01,5.057149855170818,0.0,67.5,652.0,12.312686874960354,6.0875,305620.0,2.0541237336955462
2008-12-01,5.040964026402782,0.0,67.5,560.0,12.312686874960354,5.286,305827.0,2.1162555148025524
2009-01-01,5.027210496633362,14430.902,67.3,490.0,12.247219387314328,5.0475,306035.0,2.174751721484161
2009-02-01,5.017379169629601,0.0,67.3,582.0,12.247219387314328,5.13,306237.0,2.2300144001592104
2009-03-01,5.008366054652212,0.0,67.3,505.0,12.247219387314328,5.0025,306438.0,2.272125885509337
2009-04-01,5.0036039654744515,14381.236,67.4,478.0,12.305469916333227,4.81,306645.0,2.302585092994046
2009-05-01,5.001890502954661,0.0,67.4,540.0,12.305469916333227,4.8575,306863.0,2.341805806147327
2009-06-01,5.004550150440307,0.0,67.4,585.0,12.305469916333227,5.42,307090.0,2.3513752571634776
2009-07-01,5.006694204862994,14448.882,67.6,594.0,12.275136847806356,5.222,307322.0,2.3513752571634776
2009-08-01,5.00581033936727,0.0,67.6,586.0,12.275136847806356,5.1925,307570.0,2.3608540011180215
2009-09-01,5.00411407710599,0.0,67.6,585.0,12.275136847806356,5.0575,307826.0,2.379546134130174
2009-10-01,5.002939087461785,14651.249,67.2,534.0,12.296831574998258,4.952,308071.0,2.3978952727983707
2009-11-01,5.004845230650615,0.0,67.2,588.0,12.296831574998258,4.875,308289.0,2.388762789235098
2009-12-01,5.003469682311344,0.0,67.2,581.0,12.296831574998258,4.93,308495.0,2.388762789235098
2010-01-01,4.999884376192112,14764.61,67.1,614.0,12.31448300568063,5.03,308706.0,2.379546134130174
2010-02-01,4.987919226852522,0.0,67.1,604.0,12.31448300568063,4.99,308904.0,2.379546134130174
2010-03-01,4.989472942794235,0.0,67.1,636.0,12.31448300568063,4.9675,309095.0,2.388762789235098
2010-04-01,4.993170332329668,14980.193,66.9,687.0,12.299112067295642,5.098,309289.0,2.388762789235098
2010-05-01,4.993109273363649,0.0,66.9,583.0,12.299112067295642,4.8875,309485.0,2.3608540011180215
2010-06-01,4.988532824188309,0.0,66.9,536.0,12.299112067295642,4.7375,309691.0,2.341805806147327
2010-07-01,4.983544975972661,15141.607,66.9,546.0,12.319852122072682,4.564,309913.0,2.341805806147327
2010-08-01,4.976154264210675,0.0,66.9,599.0,12.319852122072682,4.4275,310146.0,2.3513752571634776
2010-09-01,4.969945235316542,0.0,66.9,594.0,12.319852122072682,4.346,310385.0,2.3513752571634776
2010-10-01,4.966551039743579,15309.474,66.5,543.0,12.320744178813118,4.225,310612.0,2.341805806147327
2010-11-01,4.9640536892632,0.0,66.5,545.0,12.320744178813118,4.3,310820.0,2.379546134130174
2010-12-01,4.963264122680238,0.0,66.5,539.0,12.320744178813118,4.714,311020.0,2.33214389523559
2011-01-01,4.959489357272099,15351.448,66.4,630.0,12.332269077986075,4.755,311204.0,2.312535423847214
2011-02-01,4.9512390841395995,0.0,66.4,517.0,12.332269077986075,4.9525,311373.0,2.302585092994046
