DATE,MORTGAGE30US
2008-12-01,5.2860000000000000
2009-01-01,5.0475000000000000
2009-02-01,5.1300000000000000
2009-03-01,5.0025000000000000
2009-04-01,4.8100000000000000
2009-05-01,4.8575000000000000
2009-06-01,5.4200000000000000
2009-07-01,5.2220000000000000
2009-08-01,5.1925000000000000
2009-09-01,5.0575000000000000
2009-10-01,4.9520000000000000
2009-11-01,4.8750000000000000
2009-12-01,4.9300000000000000
2010-01-01,5.0300000000000000
2010-02-01,4.9900000000000000
2010-03-01,4.9675000000000000
2010-04-01,5.0980000000000000
2010-05-01,4.8875000000000000
2010-06-01,4.7375000000000000
2010-07-01,4.5640000000000000
2010-08-01,4.4275000000000000
2010-09-01,4.3460000000000000
2010-10-01,4.2250000000000000
2010-11-01,4.3000000000000000
2010-12-01,4.7140000000000000
2011-01-01,4.7550000000000000
2011-02-01,4.9525000000000000
2011-03-01,4.8360000000000000
2011-04-01,4.8400000000000000
2011-05-01,4.6375000000000000
2011-06-01,4.5100000000000000
2011-07-01,4.5450000000000000
2011-08-01,4.2700000000000000
2011-09-01,4.1060000000000000
2011-10-01,4.0675000000000000
2011-11-01,3.9925000000000000
2011-12-01,3.9580000000000000
2012-01-01,3.9150000000000000
2012-02-01,3.8900000000000000
2012-03-01,3.9540000000000000
2012-04-01,3.9100000000000000
2012-05-01,3.7980000000000000
2012-06-01,3.6750000000000000
2012-07-01,3.5500000000000000
2012-08-01,3.6020000000000000
2012-09-01,3.4975000000000000
2012-10-01,3.3825000000000000
2012-11-01,3.3520000000000000
2012-12-01,3.3450000000000000
2013-01-01,3.4140000000000000
2013-02-01,3.5325000000000000
2013-03-01,3.5650000000000000
2013-04-01,3.4450000000000000
2013-05-01,3.5360000000000000
2013-06-01,4.0700000000000000
2013-07-01,4.3700000000000000
2013-08-01,4.4560000000000000
2013-09-01,4.4900000000000000
2013-10-01,4.1920000000000000
2013-11-01,4.2550000000000000
2013-12-01,4.4575000000000000
2014-01-01,4.4320000000000000
2014-02-01,4.3025000000000000
2014-03-01,4.3425000000000000
2014-04-01,4.3375000000000000
2014-05-01,4.1920000000000000
2014-06-01,4.1625000000000000
2014-07-01,4.1300000000000000
2014-08-01,4.1150000000000000
2014-09-01,4.1625000000000000
2014-10-01,4.0360000000000000
2014-11-01,3.9975000000000000
2014-12-01,3.8640000000000000
2015-01-01,3.6700000000000000
2015-02-01,3.7100000000000000
2015-03-01,3.7700000000000000
2015-04-01,3.6720000000000000
2015-05-01,3.8400000000000000
2015-06-01,3.9825000000000000
2015-07-01,4.0460000000000000
2015-08-01,3.9050000000000000
2015-09-01,3.8900000000000000
2015-10-01,3.7960000000000000
2015-11-01,3.9425000000000000
2015-12-01,3.9640000000000000
2016-01-01,3.8725000000000000
2016-02-01,3.6600000000000000
2016-03-01,3.6940000000000000
2016-04-01,3.6050000000000000
2016-05-01,3.6000000000000000
2016-06-01,3.5680000000000000
2016-07-01,3.4400000000000000
2016-08-01,3.4350000000000000
2016-09-01,3.4600000000000000
2016-10-01,3.4700000000000000
2016-11-01,3.7700000000000000
2016-12-01,4.1980000000000000
2017-01-01,4.1500000000000000
2017-02-01,4.1675000000000000
2017-03-01,4.1960000000000000
2017-04-01,4.0450000000000000
2017-05-01,4.0100000000000000
2017-06-01,3.9040000000000000
2017-07-01,3.9675000000000000
2017-08-01,3.8800000000000000
2017-09-01,3.8050000000000000
2017-10-01,3.8950000000000000
2017-11-01,3.9220000000000000
2017-12-01,3.9500000000000000
2018-01-01,4.0325000000000000
2018-02-01,4.3300000000000000
2018-03-01,4.4440000000000000
2018-04-01,4.4675000000000000
2018-05-01,4.5860000000000000
2018-06-01,4.5700000000000000
2018-07-01,4.5275000000000000
2018-08-01,4.5500000000000000
2018-09-01,4.6275000000000000
2018-10-01,4.8300000000000000
2018-11-01,4.8660000000000000
2018-12-01,4.6375000000000000
2019-01-01,4.4640000000000000
2019-02-01,4.3700000000000000
2019-03-01,4.2650000000000000
2019-04-01,4.1425000000000000
2019-05-01,4.0720000000000000
2019-06-01,3.8025000000000000
2019-07-01,3.7650000000000000
2019-08-01,3.6160000000000000
2019-09-01,3.6050000000000000
2019-10-01,3.6880000000000000
2019-11-01,3.6950000000000000
2019-12-01,3.7200000000000000
2020-01-01,3.6240000000000000
2020-02-01,3.4650000000000000
2020-03-01,3.4500000000000000
2020-04-01,3.3060000000000000
2020-05-01,3.2325000000000000
2020-06-01,3.1625000000000000
2020-07-01,3.0160000000000000
2020-08-01,2.9350000000000000
2020-09-01,2.8900000000000000
2020-10-01,2.8340000000000000
2020-11-01,2.7650000000000000
2020-12-01,2.6840000000000000
2021-01-01,2.7350000000000000
2021-02-01,2.8100000000000000
2021-03-01,3.0825000000000000
2021-04-01,3.0600000000000000
2021-05-01,2.9625000000000000
2021-06-01,2.9750000000000000
2021-07-01,2.8680000000000000
2021-08-01,2.8425000000000000
2021-09-01,2.9000000000000000
2021-10-01,3.0675000000000000
2021-11-01,3.0675000000000000
2021-12-01,3.0980000000000000
2022-01-01,3.4450000000000000
2022-02-01,3.7625000000000000
2022-03-01,4.1720000000000000
2022-04-01,4.9825000000000000
2022-05-01,5.2300000000000000
2022-06-01,5.5220000000000000
2022-07-01,5.4125000000000000
2022-08-01,5.2225000000000000
2022-09-01,6.1120000000000000
2022-10-01,6.9000000000000000
2022-11-01,6.8050000000000000
2022-12-01,6.3640000000000000
2023-01-01,6.2725000000000000
2023-02-01,6.2575000000000000
2023-03-01,6.5440000000000000
2023-04-01,6.3425000000000000
2023-05-01,6.4250000000000000
2023-06-01,6.7140000000000000
2023-07-01,6.8400000000000000
